service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
2391062471-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
3555039878-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
5550034600-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
14797029016-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
3880005502-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
5568003650-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
14799048403-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
7380059330-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
17000062844-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
4975023869-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
3100034044-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,1
14312045006-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
1062059590-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,1
1982053838-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
14249045462-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
3880005515-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,0,1
15487039391-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
13170037814-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14010042457-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
3804041176-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14249045468-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
1983053879-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
14299044613-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
6008011100-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
15447038730-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14306060300-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,1
3922053233-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
3886005616-20160920093629_v46.5,20160922,20161029,1,1,1,1,1,0,0
6104052464-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
15497039578-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
1052047635-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14745040536-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
7005018567-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
1064059913-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
5550011277-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
18028052193-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,0
3060042121-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
12875045873-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
14797029065-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
13224043523-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
5361061230-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,1
14797029059-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,0,1
1052047593-20160920093629_v46.5,20160922,20161029,0,0,0,0,0,1,0
1064059957-20160922135358_v46.7,20161030,20161231,0,0,0,0,0,1,0
14233045438-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
7380059168-20160922135358_v46.7,20161030,20161231,1,1,1,1,1,0,0
